key,row,col,x,y,w,h
Esc,ROW0,COL0,0,0,1,1
F1,ROW0,COL1,1.5,0,1,1
F2,ROW0,COL2,2.5,0,1,1
F3,ROW0,COL3,3.5,0,1,1
F4,ROW0,COL4,4.5,0,1,1
F5,ROW0,COL5,6.0,0,1,1
F6,ROW0,COL6,7.0,0,1,1
F7,ROW0,COL7,8.0,0,1,1
F8,ROW0,COL8,9.0,0,1,1
F9,ROW0,COL9,10.5,0,1,1
F10,ROW0,COL10,11.5,0,1,1
F11,ROW0,COL11,12.5,0,1,1
F12,ROW0,COL12,13.5,0,1,1
Device 1,ROW0,COL13,15.0,0,1,1
Device 2,ROW0,COL14,16.0,0,1,1
Device 3,ROW0,COL15,17.0,0,1,1
~,ROW1,COL0,0,1,1,1
1,ROW1,COL1,1,1,1,1
2,ROW1,COL2,2,1,1,1
3,ROW1,COL3,3,1,1,1
4,ROW1,COL4,4,1,1,1
5,ROW1,COL5,5,1,1,1
6,ROW1,COL6,6,1,1,1
7,ROW1,COL7,7,1,1,1
8,ROW1,COL8,8,1,1,1
9,ROW1,COL9,9,1,1,1
0,ROW1,COL10,10,1,1,1
-,ROW1,COL11,11,1,1,1
=,ROW1,COL12,12,1,1,1
Backspace,ROW1,COL13,13,1,2,1
Insert,ROW6,COL0,15.5,1,1,1
Home,ROW6,COL1,16.5,1,1,1
PgUp,ROW6,COL2,17.5,1,1,1
Tab,ROW2,COL0,0,2,1.5,1
Q,ROW2,COL1,1.5,2,1,1
W,ROW2,COL2,2.5,2,1,1
E,ROW2,COL3,3.5,2,1,1
R,ROW2,COL4,4.5,2,1,1
T,ROW2,COL5,5.5,2,1,1
Y,ROW2,COL6,6.5,2,1,1
U,ROW2,COL7,7.5,2,1,1
I,ROW2,COL8,8.5,2,1,1
O,ROW2,COL9,9.5,2,1,1
P,ROW2,COL10,10.5,2,1,1
[,ROW2,COL11,11.5,2,1,1
],ROW2,COL12,12.5,2,1,1
\,ROW2,COL13,13.5,2,1.5,1
Delete,ROW7,COL0,15.5,2,1,1
End,ROW7,COL1,16.5,2,1,1
PgDn,ROW7,COL2,17.5,2,1,1
Caps Lock,ROW3,COL0,0,3,1.75,1
A,ROW3,COL1,1.75,3,1,1
S,ROW3,COL2,2.75,3,1,1
D,ROW3,COL3,3.75,3,1,1
F,ROW3,COL4,4.75,3,1,1
G,ROW3,COL5,5.75,3,1,1
H,ROW3,COL6,6.75,3,1,1
J,ROW3,COL7,7.75,3,1,1
K,ROW3,COL8,8.75,3,1,1
L,ROW3,COL9,9.75,3,1,1
;,ROW3,COL10,10.75,3,1,1
',ROW3,COL11,11.75,3,1,1
Enter,ROW3,COL12,12.75,3,2.25,1
Shift,ROW4,COL0,0,4,2.25,1
Z,ROW4,COL1,2.25,4,1,1
X,ROW4,COL2,3.25,4,1,1
C,ROW4,COL3,4.25,4,1,1
V,ROW4,COL4,5.25,4,1,1
B,ROW4,COL5,6.25,4,1,1
N,ROW4,COL6,7.25,4,1,1
M,ROW4,COL7,8.25,4,1,1
,,ROW4,COL8,9.25,4,1,1
.,ROW4,COL9,10.25,4,1,1
/,ROW4,COL10,11.25,4,1,1
Shift,ROW4,COL11,12.25,4,2.75,1
↑,ROW4,COL12,15.5,4,1,1
Ctrl,ROW5,COL0,0,5,1.25,1
Win,ROW5,COL1,1.25,5,1.25,1
Alt,ROW5,COL2,2.5,5,1.25,1
Space,ROW5,COL3,3.75,5,6.25,1
Alt,ROW5,COL4,10.0,5,1.25,1
Win,ROW5,COL5,11.25,5,1.25,1
Fn,ROW5,COL6,12.5,5,1.25,1
Ctrl,ROW5,COL7,13.75,5,1.25,1
←,ROW5,COL8,15.5,5,1,1
↓,ROW5,COL9,16.5,5,1,1
→,ROW5,COL10,17.5,5,1,1
